2009排名,2008排名,公司名称,国家/地区,营业收入百万美元,利润百万美元
293,302,Cosmo Oil,日本,29710.3,-920.0
294,312,Abbott Laboratories,美国,29527.6,4880.7
295,198,Allstate,美国,29394.0,-1679.0
296,294,TIAA-CREF,美国,29362.5,-3344.9
297,296,General Dynamics,美国,29302.0,2459.0
298,221,Prudential Financial,美国,29275.0,-1073.0
299,274,Adecco,瑞士,29222.5,724.5
300,.,Wilmar International,新加坡,29145.2,1531.0
301,340,Alliance Boots,瑞士,28983.9,170.2
302,317,Mitsubishi Chemical Holdings,日本,28956.6,-668.7
303,320,Humana,美国,28946.4,647.2
304,309,Liberty Mutual Insurance Group,美国,28855.0,1140.0
305,245,Korea Electric Power,韩国,28712.5,-2688.7
306,324,CPC,中国台湾,28451.9,-3823.8
307,334,Deere,美国,28437.6,2052.8
308,299,HCA,美国,28374.0,673.0
309,261,Sharp,日本,28341.4,-1252.4
310,406,Sberbank,俄罗斯,28309.4,3929.2
311,290,Hindustan Petroleum,印度,28247.3,164.6
312,371,Japan Tobacco,日本,28141.1,1228.3
313,298,Tyson Foods,美国,28130.0,86.0
314,249,Alcoa,美国,28119.0,-74.0
315,297,Bayerische Landesbank,德国,28111.5,-7441.4
316,.,Petroplus Holdings,瑞士,28047.6,-495.1
317,388,Tesoro,美国,28031.0,278.0
318,409,China National Offshore Oil,中国,28027.4,4816.4
319,377,Hochtief,德国,27960.8,256.3
320,272,Xstrata,瑞士,27942.0,3595.0
321,306,Delhaize Group,比利时,27874.4,683.5
322,333,Lafarge,法国,27858.3,2339.0
323,395,Formosa Petrochemical,中国台湾,27769.3,481.9
324,347,Kansai Electric Power,日本,27767.6,-87.6
325,.,Suncor Energy,加拿大,27680.5,2003.9
326,456,Murphy Oil,美国,27512.5,1740.0
327,405,China Ocean Shipping,中国,27430.3,1892.8
328,358,Schlumberger,美国,27162.9,5434.8
329,343,East Japan Railway,日本,26846.1,1864.3
330,342,Schneider Electric,法国,26801.5,2461.9
331,412,China Minmetals,中国,26667.2,542.2
332,330,Softbank?,日本,26607.5,429.7
333,351,National Grid?,英国,26605.6,1591.2
334,338,Alstom,法国,26461.0,1566.0
335,398,COFCO,中国,26445.6,500.9
336,266,Anglo American,英国,26311.0,5215.0
337,328,Rite Aid,美国,26289.5,-2915.4
338,346,Christian Dior,法国,26248.3,1165.1
339,348,Poste Italiane,意大利,26129.0,1291.8
340,430,Petro-Canada,加拿大,26054.5,2938.8
341,426,China Communications Construction,中国,25982.8,601.8
342,344,Quanta Computer,中国台湾,25966.7,641.6
343,336,Bank of Nova Scotia,加拿大,25944.5,3060.6
344,310,William Morrison Supermarkets,英国,25908.7,820.3
345,.,Philip Morris International,美国,25705.0,6890.0
346,355,L'Oréal?,法国,25675.7,2851.7
347,316,Bertelsmann,德国,25646.7,207.8
348,392,Accenture,美国,25313.8,1691.8
349,415,T&D Holdings,日本,25281.9,-886.9
350,375,Emerson Electric,美国,25281.0,2412.0
351,327,3M,美国,25269.0,3460.0
352,255,Mazda Motor,日本,25242.5,-711.6
353,386,Onex,加拿大,25206.8,-265.4
354,367,Toronto-Dominion Bank,加拿大,25070.2,3736.0
