排名,上年排名,公司名称(中文),营业收入(百万美元),利润(百万美元),国家
170,141,法国电信（FRANCE TéLéCOM),55922.3,1053.8,法国
171,161,圣戈班集团（SAINT-GOBAIN),55515.0,984.4,法国
172,194,中国中信集团有限公司（CITIC GROUP),55435.1,4779.5,中国
173,373,英国励正集团（LEGAL & GENERAL GROUP),55426.9,1288.4,英国
174,172,日本伊藤忠商事株式会社（ITOCHU),55150.5,3375.4,日本
175,200,法切莱公司（FONCIèRE EURIS),54830.0,236.5,法国
176,210,奥地利石油天然气集团（OMV GROUP),54809.7,1752.1,奥地利
177,121,巴克莱（BARCLAYS),54648.8,-1649.7,英国
178,234,神华集团（SHENHUA GROUP),54517.9,6150.9,中国
179,177,联合包裹速递服务公司（UNITED PARCEL SERVICE),54127.0,807.0,美国
180,128,德国巴登-符腾堡州银行（LANDESBANK BADEN-WüRTTEMBERG),53812.2,512.8,德国
181,242,中国平安保险（集团）股份有限公司（PING AN INSURANCE),53760.9,3177.9,中国
182,221,中国电信集团公司（CHINA TELECOMMUNICATIONS),53378.6,1066.5,中国
183,173,英特尔公司（INTEL),53341.0,11005.0,美国
184,158,雷诺（RENAULT),53037.2,2277.2,法国
185,180,新日铁住金（NIPPON STEEL & SUMITOMO METAL),52864.4,-1500.1,日本
186,166,富士通（FUJITSU),52765.7,-878.0,日本
187,233,中国华润总公司（CHINA RESOURCES NATIONAL),52448.2,1905.6,中国
188,164,联合信贷集团（UNICREDIT GROUP),52281.1,1111.5,意大利
189,277,谷歌（GOOGLE),52203.0,10737.0,美国
190,191,日本三井住友金融集团（SUMITOMO MITSUI FINANCIAL GROUP),52099.7,9562.2,日本
191,209,MS&AD保险集团控股有限公司（MS&AD INSURANCE GROUP HOLDINGS),51971.6,1007.0,日本
192,169,中国五矿集团公司（CHINA MINMETALS),51807.0,704.1,中国
193,186,西班牙对外银行（BANCO BILBAO VIZCAYA ARGENTARIA),51780.4,2153.9,西班牙
194,187,拜耳集团（BAYER),51096.7,3143.4,德国
195,153,力拓集团（RIO TINTO GROUP),50967.0,-2990.0,英国
196,258,中国邮政集团公司（CHINA POST GROUP),50932.9,4082.0,中国
197,192,瑞士罗氏公司（ROCHE GROUP),50609.4,10175.4,瑞士
198,190,美国劳氏公司（LOWE'S),50521.0,1959.0,美国
199,179,德国联邦铁路公司（DEUTSCHE BAHN),50500.4,1890.4,德国
200,239,住友生命保险公司（SUMITOMO LIFE INSURANCE),50481.5,1298.6,日本
201,188,沙特基础工业公司（SABIC),50400.8,6591.4,沙特阿拉伯
202,240,西班牙ACS集团（ACS),50098.0,-2475.7,西班牙
203,183,万喜集团（VINCI),49649.1,2463.2,法国
204,305,国际石油投资公司（INTERNATIONAL PETROLEUM INVESTMENT),49497.8,1512.0,阿拉伯联合酋长国
205,254,澳大利亚国民银行（NATIONAL AUSTRALIA BANK),49035.6,4199.0,澳大利亚
206,203,韩国现代重工集团（HYUNDAI HEAVY INDUSTRIES),48809.8,873.9,韩国
207,227,澳洲联邦银行（COMMONWEALTH BANK OF AUSTRALIA),48673.3,7312.4,澳大利亚
208,212,可口可乐公司（COCA-COLA),48017.0,9019.0,美国
209,238,中国南方工业集团公司（CHINA SOUTH INDUSTRIES GROUP),47967.4,218.0,中国
210,159,巴西淡水河谷公司（VALE),47694.0,5511.0,巴西
211,143,苏格兰皇家银行集团（ROYAL BANK OF SCOTLAND GROUP),47642.8,-9005.9,英国
212,250,中国航空工业集团公司（AVIATION INDUSTRY CORP. OF CHINA),47351.2,1021.7,中国
213,216,中国交通建设集团有限公司（CHINA COMMUNICATIONS CONSTRUCTION),47332.6,1232.5,中国
214,207,默沙东（MERCK),47267.0,6168.0,美国
215,199,日本出光兴产株式会社（IDEMITSU KOSAN),47263.1,604.1,日本
216,211,洛克希德－马丁（LOCKHEED MARTIN),47182.0,2745.0,美国
217,222,KOC集团（KO? HOLDING),47128.9,1286.0,土耳其
218,236,东京海上日动火灾保险公司（TOKIO MARINE HOLDINGS),46456.1,1560.4,日本
219,201,赛诺菲（SANOFI),46209.3,6383.2,法国
220,237,思科公司（CISCO SYSTEMS),46061.0,8041.0,美国
221,193,意大利联合圣保罗银行（INTESA SANPAOLO),45867.5,2062.6,意大利
222,197,宝钢集团有限公司（BAOSTEEL GROUP),45682.7,918.8,中国
223,185,利安德巴塞尔工业公司（LYONDELLBASELL INDUSTRIES),45630.0,2848.0,荷兰
224,223,丰益国际（WILMAR INTERNATIONAL),45463.4,1255.5,新加坡
225,196,LG电子（LG ELECTRONICS),45246.1,59.3,韩国
226,184,百思买（BEST BUY),45087.0,-441.0,美国
227,208,沃尔沃集团（VOLVO),44850.6,1630.5,瑞典
228,304,俄罗斯联邦储蓄银行（SBERBANK),44835.5,11233.0,俄罗斯
229,225,巴拉特石油公司（BHARAT PETROLEUM),44794.4,345.7,印度
230,189,南苏格兰电力（SSE),44698.5,672.6,英国
231,246,中国华能集团公司（CHINA HUANENG GROUP),44343.9,86.1,中国
232,232,美国西夫韦公司（SAFEWAY),44206.5,596.5,美国
233,220,日本KDDI电信公司（KDDI),44102.1,2907.8,日本
234,230,Iberdrola公司（IBERDROLA),43952.9,3650.6,西班牙
235,264,韩国电力公司（KOREA ELECTRIC POWER),43612.9,-2811.6,韩国
236,224,佳能（CANON),43606.6,2814.1,日本
237,229,西太平洋银行（WESTPAC BANKING),43568.2,6141.1,澳大利亚
238,219,法国国营铁路公司（SNCF),43463.0,492.2,法国
239,235,GS加德士（GS CALTEX),43407.6,651.8,韩国
240,218,法国布伊格集团（BOUYGUES),43249.7,813.5,法国
241,260,斯伦贝谢公司（SCHLUMBERGER),43131.0,5490.0,美国
242,259,电装公司（DENSO),43122.2,2187.9,日本
243,326,交通银行（BANK OF COMMUNICATIONS),43094.9,9251.9,中国
244,214,三菱电机股份有限公司（MITSUBISHI ELECTRIC),42956.8,837.1,日本
245,263,联邦快递（FEDEX),42680.0,2032.0,美国
246,226,ENTERPRISE PRODUCTS PARTNERS公司（ENTERPRISE PRODUCTS PARTNERS),42583.1,2419.9,美国
247,262,西斯科公司（SYSCO),42380.9,1121.6,美国
248,249,华特迪士尼公司（WALT DISNEY),42278.0,5682.0,美国
