排序,公司名称,国家地区,营业收入百万美元,利润百万美元,资产百万美元,股东权益百万美元,雇员人数
309,MAN GROUP,美国,"17,000.2",256.9,"12,556.5","3,430.8","64,158"
310,BOMBARDIER,加拿大,"16,996.2",-64.5,"19,218.9","2,442.9","63,865"
311,LIBERTY MUTUAL INSURANCE GROUP,美国,"16,914.0",851.0,"64,422.0","7,381.0","37,850"
312,PUBLIX SUPER MARKETS,美国,"16,848.3",660.9,"5,150.7","3,169.3","90,500"
313,NATIONWIDE,美国,"16.,803.0",653.4,"147,674.2","10,833.7","33,249"
314,SOMPO JAPAN INSURANCE,日本,"16,794.9",487.7,"54,683.6","7,620.8","17,031"
315,ANTHEM,美国,"16,771.4",774.3,"13,438.7","5,999.9","20,130"
316,TENET HEALTHCARE,美国,"16,746.0","-1,477.0","12,298.0","4,361.0","93,844"
317,AT＆T WIRELESS SERVICES,美国,"16,695.0",442.0,"47,802.0","20,663.0","31,000"
318,GENERAL DYNAMICS,美国,"16,617.0","1,004.0","16,183.0","5,921.0","67,600"
319,RITE AID,美国,"16,600.4",83.3,"6,246.7",9.3,"54,375"
320,SKANSKA,瑞典,"16,451.1",341.8,"9,275.2","1,969.2","69,669"
321,GROUPE DANONE,法国,"16,376.6",149.4,"21,316.5","7,501.1","88,607"
322,HALLIBURTON,美国,"16,271.0",-820.0,"15,463.0","2,547.0","101,000"
323,HANWHA,韩国,"16,181.8",29.1,"34,882.9",584.9,"2,714"
324,COLES MYER,澳大利亚,"16,042.8",255.0,"5,463.4","2,447.4","165,000"
325,SWISS LIFE INSURANCE＆PENSION,瑞士,"16,035.6",173.2,"131,371.6","4,013.6","10,015"
326,SUNOCO,美国,"15,930.0",312.0,"6,922.0","1,556.0","14,900"
327,L’OREAL,法国,"15,877.6","1,688.0","18,935.2","10,247.4","50,500"
328,MAGNA INTERNATIONAL,加拿大,"15,870.0",522.0,"9,816.0","4,930.0","75,000"
329,GAP,美国,"15,853.8","1,030.2","10,343.3","4,781.9","153,000"
330,WYETH,美国,"15,850.6","2,051.2","31,031.9","9,294.4","52,385"
331,CHINA CONSTRUCTION BANK,中国,"15,824.8",49.7,"429,431.5","22,506.5","275,029"
332,NATIONAL AUSTRALIA BANK,澳大利亚,"15,819.5","2,423.4","269,028.2","16,519.9","42,540"
333,EXELON,美国,"15,812.0",905.0,"41,941.0","8,503.0","16,495"
334,LOEWS,美国,"15,809.6",-610.7,"77,880.9","11,054.3","22,700"
335,RICOH,日本,"15,760.6",812.4,"17,809.2","7,642.9","73,165"
336,LEAR,美国,"15,746.7",380.5,"8,571.0","2,257.5","111,002"
337,SUN LIFE FINANCIAL,加拿大,"15,741.2",934.2,"126,365.8","10,815.3","13,570"
338,LEGAL＆GENERAL GROUP,英国,"15,729.7",660.4,"223,654.7","5,835.9","8,141"
339,XEROX,美国,"15,701.0",360.0,"24,591.0","4,679.0","61,100"
340,WOOLWORTHS,澳大利亚,"15,681.8",380.5,"3,947.7",828.5,"145,000"
341,BHP BILLITON,澳大利亚,"15,608.0","1,901.0","28,365.0","12,013.0","34,801"
342,NIPPON MINING HOLDINGS,日本,"15,551.1",131.5,"15,115.3","2,246.8","9,858"
343,BAYERISCHE LANDESBANK,德国,"15,549.4",76.9,"395,339.9","11,304.7","9,061"
344,DEERE,美国,"15,534.6",643.1,"26,258.0","4,002.1","43,200"
345,DENTSU,日本,"15,484.9",273.4,"11,429.7","4,514.0","14,245"
346,LAFARGE,法国,"15,457.6",823.9,"31,325.1","10,324.0","75,338"
347,AMERICAN ELECTRIC POWER,美国,"15,441.0",110.0,"36,744.0","7,874.0","22,075"
348,ITOCHU,日本,"15,393.2",-282.8,"43,132.2","4,064.6","40,737"
349,ELECTROLUX,瑞典,"15,361.4",591.5,"10,705.4","3,816.7","77,140"
350,U.S. BANCORP,美国,"15,354.4","3,732.6","189,286.0","19,242.0","51,377"
351,NATIONAL GRID TRANSCO,英国,"15,300.7","1,861.6","42,999.9","2,229.3","24,527"
352,FEDERATED DEPARTMENT STORES,美国,"15,264.0",693.0,"14,550.0","5,940.0","111,000"
353,BANCO BRADESCO,巴西,"15,179.5",749.6,"61,038.8","4,695.6","75,781"
354,TRAVELERS PROPERTY CASUALTY,美国,"15,139.2","1,696.0","64,872.0","11,986.7","22,100"
355,SUMITOMO,日本,"15,126.2",589.8,"48,180.3","7,025.0","33,799"
356,GOODYEAR TIRE＆RUBBER,美国,"15,119.0",-802.1,"15,005.5",-13.1,"86,000"
357,KOOKMIN BANK,韩国,"15,112.4",-622.5,"156,753.0","7,109.7","28,980"
358,BANK OF CHINA,中国,"15,021.6",554.2,"464,212.8","22,517.5","188,716"
359,YUKOS,俄罗斯,"14,966.0","4,534.0","18,514.0","10,134.0","100,000"
360,QWEST COMMUNICATIONS,美国,"14,936.0","1,512.0","26,216.0","-1,016.0","46,876"
361,POSCO,韩国,"14,930.2","1,675.2","17,430.4","10,873.8","27,475"
362,MIGROS,瑞士,"14,880.2",276.6,"13,412.2","6,787.0","61,486"
363,BANCO DO BRASIL,巴西,"14,844.2",773.9,"79,772.4","4,219.0","80,640"
364,LAGARDERE GROUPE,法国,"14,790.7",377.9,"22,649.1","4,895.9","43,009"
365,AKZO NOBEL,荷兰,"14,770.7",681.3,"15,077.9","3,155.8","64,600"
366,COMPUTER SCIENCES,美国,"14,767.6",519.4,"11,840.7","5,495.1","90,000"
367,NIPPON EXPRESS,日本,"14,757.5",241.4,"12,134.2","4,047.9","64,699"
368,ROYAL MAIL HOLDINGS,英国,"14,623.2",11.9,"10,744.0","3,929.3","212,310"
369,HILTON GROUP,英国,"14,599.2",183.1,"9,445.0","4,374.6","49,187"
370,L.M. ERICSSON,瑞典,"14,576.6","-1,342.5","25,346.1","8,405.6","51,583"
371,RAG,德国,"14,559.2",-93.9,"25,430.7","2,668.6","77,680"
372,SHANGHAI BAOSTEEL GROUP,中国,"14,548.0",946.2,"20,792.1","11,196.3","102,039"
373,KINGFISHER,英国,"14,536.4",379.3,"12,998.2","8,015.8","64,320"
374,FLEXTRONICS INTERNATIONAL,新加坡,"14,530.4",-352.4,"9,583.9","4,367.2","82,000"
375,AIR FRANCE GROUP,法国,"14,509.8",109.4,"15,924.9","4,991.7","71,654"
376,FLEETBOSTON FINANCIAL,美国,"14,442.0","2,598.0","200,235.0","18,280.0","47,500"
377,ROYAL KPN,荷兰,"14,420.9","3,090.8","30,429.6","9,034.9","29,668"
378,AMERADA HESS,美国,"14,408.0",643.0,"13,983.0","5,340.0","11,481"
379,ALLIANCE UNICHEM,英国,"14,384.7",210.1,"6,196.4","1,664.5","22,160"
380,KAJIMA,日本,"14,357.5",-39.6,"17,977.3","2,081.1","16,471"
381,KIMBERLY-CLARK,美国,"14,348.0","1,694.2","16,779.9","6,766.3","62,000"
382,SCHLUMBERGER,美国,"14,278.8",383.0,"20,041.3","5,881.3","77,000"
383,KFW BANKENGRUPPE,德国,"14,240.3",280.0,"395,923.9","10,006.2","3,670"
384,AISIN SEIKI,日本,"14,211.3",307.4,"13,289.5","4,866.2","47,600"
385,ALCATEL,法国,"14,161.8","-2,200.1","26,654.4","3,821.8","60,486"
386,TAISEI,日本,"14,151.7",91.7,"17,034.0","1,963.2","17,014"
387,ANHEUSER-BUSCH,美国,"14,146.7","2,075.9","14,689.5","2,711.7","23,316"
388,BCE,加拿大,"14,119.0","1,295.4","30,436.3","10,508.9","64,000"
389,MITSUBISHI,日本,"14,116.4","1,021.4","80,650.1","11,761.7","49,213"
390,CHRISTIAN DIOR,法国,"14,108.6",342.9,"32,544.8","4,760.3","56,815"
