排名,公司名称,国家地区,营业收入百万美元,利润百万美元,资产额百万美元,股东权益百万美元,雇员人数
22,VOLKSWAGEN,德国,"65,328.2",772.4,"56,517.0","7,793.2","279,892"
23,MATSUSHITA ELECTRIC INDUSTRIAL,日本,"64,280.6",762.5,"64,217.8","28,272.1","275,962"
24,SIEMENS,德国,"63,754.6","1,427.4","55,545.9","15,108.5","386,000"
25,CHRYSLER,美国,"61,147.0","2,805.0","60,418.0","11,362.0","121,000"
26,MOBIL,美国,"59,978.0","3,272.0","43,559.0","19,461.0","42,700"
27,U.S.POSTAL SERVICE,美国,"58,216.0","1,264.0","53,138.0","-1,360.0","898,384"
28,ALLIANZ,德国,"56,785.3","1,171.7","211,442.4","9,587.6","73,290"
29,PHILIP MORRIS,美国,"56,114.0","6,310.0","55,947.0","14,920.0","152,000"
30,SONY,日本,"55,033.0","1,809.1","48,016.4","13,614.8","173,000"
31,NISSAN MOTOR,日本,"53,478.2",-114.1,"59,120.5","9,617.4","137,201"
32,AT&T,美国,"53,261.0","4,638.0","58,635.0","22,647.0","128,000"
33,FIAT,意大利,"52,568.7","1,418.6","69,028.3","14,447.1","239,457"
34,HONDA MOTOR,日本,"48,876.3","2,123.2","36,109.7","12,057.7","109,400"
35,UNILEVER,英国/荷兰,"48,760.8","5,463.2","31,670.9","12,203.0","287,000"
36,NESTLÉ,瑞士,"48,253.8","2,760.9","37,487.2","16,735.5","225,808"
37,CREDIT SUISSE,瑞士,"48,242.1",273.7,"472,768.0","16,211.7","62,412"
38,DAI-ICHI MUTUAL LIFE INSURANCE,日本,"47,411.8","1,492.4","214,993.8","2,246.7","64,598"
39,BOEING,美国,"45,800.0",-178.0,"38,024.0","12,953.0","239,000"
40,TEXACO,美国,"45,187.0","2,664.0","29,600.0","12,766.0","29,313"
41,TOSHIBA,日本,"44,467.2",59.8,"45,460.0","9,010.9","186,000"
42,STATE FARM INSURANCE COS.,美国,"43,957.0","3,833.3","103,626.2","37,635.4","72,655"
43,VEBA GROUP,德国,"43,881.2","1,621.0","44,813.3","12,320.4","129,960"
44,ELF AQUITAINE,法国,"43,572.0",959.5,"42,048.6","13,944.2","83,700"
45,TOMEN,日本,"43,399.7",-179.1,"17,671.3",639.8,"10,920"
46,TOKYO ELECTRIC POWER,日本,"42,996.9","1,102.4","107,587.4","11,714.3","42,672"
47,HEWLETT-PACKARD,美国,"42,895.0","3,119.0","31,749.0","16,155.0","121,900"
48,SUMITOMO LIFE INSURANCE,日本,"42,278.6","1,094.4","177,845.4","2,408.6","64,628"
49,E.I DU PONT DE NEMOURS,美国,"41,304.0","2,405.0","42,942.0","11,270.0","98,396"
50,SEARS ROEBUCK,美国,"41,296.0","1,188.0","38,700.0","5,862.0","296,000"
51,DEUTSCHE BANK,德国,"40,792.0",551.5,"579,992.2","17,843.0","76,141"
52,FUJITSU,日本,"40,613.0",45.5,"38,417.8","8,888.2","180,000"
53,RWE GROUP,德国,"40,232.6",814.2,"46,278.7","4,850.9","136,115"
54,NEC,日本,"39,926.5",336.5,"37,298.8","8,029.6","152,450"
55,ROYAL PHILIPS ELECTRONICS,荷兰,"39,188.4","2,938.6","29,316.3","9,596.2","264,700"
56,DEUTSCHE TELEKOM,德国,"38,969.1","1,905.4","90,543.1","25,966.5","216,006"
57,ING GROUP,荷兰,"38,673.8","2,104.1","305,983.7","22,745.4","64,162"
58,TRAVELERS GROUP,美国,"37,609.0","3,104.0","386,555.0","20,893.0","67,250"
59,HSBC HOLDINGS,英国,"37,474.0","5,496.0","471,256.4","27,055.3","132,969"
60,PRUDENTIAL INS.CO.OF AMERICA,美国,"37,073.0",610.0,"259,482.0","19,718.0","79,000"
61,ENI,意大利,"36,961.7","3,003.9","49,334.7","16,764.1","80,178"
62,ÉLECTRICITÉ DE FRANCE,法国,"36,672.9",264.1,"113,360.3","35,220.1","116,462"
63,CHEVRON,美国,"36,376.0","3,256.0","35,473.0","17,472.0","39,362"
64,PROCTER & GAMBLE,美国,"35,764.0","3,415.0","27,544.0","12,046.0","106,000"
65,RENAULT,法国,"35,623.8",929.9,"38,750.4","7,299.0","141,315"
66,PDVSA,委内瑞拉,"34,801.0","4,772.0","47,148.0","34,555.0","56,592"
67,BANK OF TOKYO-MITSUBISHI,日本,"34,749.8","-4,271.6","690,461.7","18,174.5","18,386"
68,CITICORP,,"34,697.0","3,591.0","310,897.0","21,196.0","93,700"
69,BMW(BAYERISCHE MOTOREN WERKE),德国,"34,691.5",718.8,"29,629.0","5,627.2","117,624"
70,CRÉDIT AGRICOLE,法国,"34,014.9","1,689.4","417,973.9","20,414.7","84,670"
71,SK,韩国,"33,815.9",125.1,"17,930.4","3,094.9","30,595"
72,AMOCO,美国,"32,836.0","2,720.0","32,489.0","16,319.0","43,451"
73,METRO,德国,"32,789.6",319.5,"14,132.6","2,307.6","177,470"
74,TOTAL,法国,"32,740.6","1,304.1","25,214.4","11,074.2","54,391"
75,SUEZ LYONNAISE DES EAUX,法国,"32,626.7",687.6,"78,653.0","8,193.8","175,000"
76,KMART,美国,"32,183.0",249.0,"13,558.0","5,434.0","258,000"
77,BASF,德国,"32,178.1","1,866.6","26,685.9","12,807.6","104,979"
78,PEUGEOT,法国,"32,003.9",-474.3,"31,472.0","8,808.4","140,200"
79,ALCATEL ALSTHOM GROUP,法国,"31,846.8",799.3,"41,844.5","7,305.2","189,549"
80,BAYER,德国,"31,731.0","1,696.6","30,123.9","13,060.6","144,600"
81,MERRILL LYNCH,美国,"31,731.0","1,906.0","292,819.0","8,329.0","56,600"
82,NICHIMEN,日本,"31,362.1",41.3,"15,361.6","1,144.4","18,435"
83,ABB ASEA BROWN BOVERI,瑞士,"31,265.0",572.0,"29,784.0","5,283.0","213,057"
84,MEIJI LIFE INSURANCE,日本,"31,047.3","1,006.6","127,824.7","1,884.7","40,188"
85,MITSUBISHI ELECTRIC,日本,"30,967.3",-862.9,"31,780.8","4,685.9","115,206"
86,ASSICURAZIONI GENERALI,意大利,"30,816.0",605.0,"92,678.2","6,350.5","41,417"
87,J.C.PENNEY,美国,"30,546.0",566.0,"23,493.0","7,357.0","260,000"
88,AMERICAN INTERNATIONAL GROUP,美国,"30,519.5","3,332.3","163,970.7","24,001.1","40,000"
89,MITSUBISHI MOTORS,日本,"30,428.7",-829.7,"25,275.6","2,622.8","27,324"
90,CHASE MANHATTAN CORP,美国,"30,381.0","3,708.0","365,521.0","21,742.0","69,033"
91,BELL ATLANTIC,美国,"30,193.9","2,454.9","53,964.1","12,789.1","141,000"
92,HOECHST,德国,"30,055.2",774.7,"33,869.3","8,904.3","118,212"
93,MOTOROLA,美国,"29,794.0","1,180.0","27,278.0","13,272.0","150,000"
94,TIAA-CREF,美国,"29,348.4","1,226.6","214,295.6","5,776.6","4,824"
95,PEPSICO,美国,"29,292.0","2,142.0","20,101.0","6,936.0","136,000"
96,CARREFOUR,法国,"29,002.7",613.9,"14,448.3","3,614.2","123,437"
97,ABN AMRO HOLDING,荷兰,"28,945.5","1,975.0","412,532.7","12,746.8","76,749"
98,GAN,法国,"28,936.7",48.7,"151,551.3","3,244.6","11,844"
99,SOCIÉTÉ GÉNÉRALE,法国,"28,724.9","1,047.1","409,091.0","10,532.9","55,465"
100,VIVENDI,法国,"28,633.7",924.0,"42,916.0","7,464.3","193,323"
101,VIAG,德国,"28,581.4",495.9,"32,536.0","4,484.8","95,561"
102,PEMEX(PETRÓLEOS MEXICANOS),墨西哥,"28,565.5","1,003.0","42,715.5","19,610.7","121,220"
103,LOCKHEED MARTIN,美国,"28,069.0","1,300.0","28,361.0","5,176.0","173,000"
104,PRUDENTIAL,英国,"27,905.7","1,371.1","178,081.0","4,579.4","22,120"
105,HYUNDAI,韩国,"27,838.0",5.5,"1,794.6",109.2,"1,070"
106,FANNIE MAE,美国,"27,776.9","3,055.8","391,672.7","13,793.0","3,500"
107,DAYTON HUDSON,美国,"27,757.0",751.0,"14,191.0","4,375.0","149,500"
108,MORGAN STANLEY DEAN WITTER,美国,"27,132.0","2,586.0","302,287.0","13,956.0","47,277"
109,ROBERT BOSCH,德国,"27,027.2",896.5,"19,411.2","6,023.7","180,639"
110,TESCO,英国,"26,938.2",826.9,"12,247.4","6,382.2","124,172"
111,INDUSTRIAL BANK OF JAPAN,日本,"26,917.8","-1,651.0","369,174.2","9,898.8","4,971"
112,FRANCE TÉLÉCOM,法国,"26,854.4","2,546.6","46,552.6","15,574.8","165,042"
113,BAT INDUSTRIES,英国,"26,801.6","1,629.9","84,358.2","7,817.8","81,823"
114,KROGER,美国,"26,567.3",411.7,"6,301.3",-784.8,"212,000"
115,KANEMATSU,日本,"26,506.3",-22.5,"11,976.0",326.3,"8,731"
116,ZURICH INSURANCE,瑞士,"26,469.0","1,231.5","117,036.9","14,162.2","42,871"
