排名,公司名称,国家地区,营业收入百万美元,利润百万美元,资产百万美元,股东权益百万美元,雇员人数
406,COMMONWEALTH BANK OF AUSTRALIA,澳大利亚,"15,083.9","1,836.3","213,156.1","15,607.3","36,296"
407,HOCHTIEF,德国,"15,066.3",51.2,"9,902.3","2,105.0","36,409"
408,DELTA AIR LINES,美国,"15,002.0","-5,189.0","21,801.0","-5,796.0","69,150"
409,TOHOKU ELECTRIC POWER,日本,"14,994.2",530.0,"38,541.9","8,692.6","22,627"
410,NIPPON YUSEN,日本,"14,944.3",663.7,"13,801.5","3,999.3","23,232"
411,ANHEUSER-BUSCH,美国,"14,934.2","2,240.3","16,173.4","2,668.1","31,435"
412,MANPOWER,美国,"14,930.0",245.7,"5,843.1","2,174.0","27,100"
413,TJX,美国,"14,913.5",664.1,"5,075.5","1,653.5","113,000"
414,KT,韩国,"14,901.1","1,119.4","25,572.9","6,971.4","37,703"
415,SAN PAOLI IMI,意大利,"14,899.0","1,732.6","287,008.8","16,044.2","42,738"
416,BCE,加拿大,"14,841.5","1,223.7","32,669.9","11,711.5","61,739"
417,RELIANCE INDUSTRIES,印度,"14,841.0","1,699.9","18,621.4","9,411.1","12,113"
418,ROYAL KPN,荷兰,"14,828.1","1,879.3","30,903.2","9,271.2","28,056"
419,BANCO DO BRASIL,巴西,"14,768.5","1,033.7","89,990.3","5,310.9","82,671"
420,U.S.BANCORP,美国,"14,705.7","4,166.8","195,104.0","19,539.0","48,431"
421,MARKS & SPENCER,英国,"14,652.6","1,082.9","8,096.9",985.2,"48,302"
422,AMP,澳大利亚,"14,600.8",688.3,"55,723.5","3,257.1","3,600"
423,LOEWS,美国,"14,584.2","1,231.3","73,749.5","12,183.3","22,000"
424,EXELON,美国,"14,515.0","1,864.0","42,770.0","9,423.0","17,300"
425,FORTUM,芬兰,"14,508.5","1,526.1","22,704.4","10,050.1","13,175"
426,CFE,墨西哥,"14,465.0",-736.6,"56,610.2","32,218.5","63,950"
427,STAPLES,美国,"14,448.4",708.4,"7,071.4","4,115.2","49,328"
428,MAY DEPARTMENT STORES,美国,"14,441.0",524.0,"15,163.0","4,475.0","101,000"
429,BHARAT PETROLEUM,印度,"14,436.9",343.4,"6,064.7","1,753.1","14,641"
430,EDEKA ZENTRALE,德国,"14,418.5",118.2,"4,676.6",666.7,999
431,BRITISH AIRWAYS,英国,"14,414.1",463.1,"21,420.5","4,657.9","49,490"
432,GUS,英国,"14,366.1",780.4,"13,045.8","5,309.8","51,485"
433,AMERICAN ELECTRIC POWER,美国,"14,357.0","1,089.0","34,663.0","8,515.0","19,893"
434,COFCO,中国,"14,189.4",121.4,"7,220.5","1,840.6","23,658"
435,ACS,西班牙,"14,152.9",572.6,"17,139.0","2,859.7","106,994"
436,HINDUSTAN PETROLEUM,印度,"14,114.9",315.5,"4,592.3","1,912.7","10,561"
437,UNITED STATES STEEL,美国,"14,108.0","1,091.0","10,956.0","3,970.0","48,000"
