排名,2004,公司名称,国家,营业收入百万美元,利润百万美元,资产百万美元,雇员人数
30,26,McKesson,美国,"88,050.00",751.0,"20,975.0","26,400"
31,27,Honda Motor,日本,"87,510.70",5273.2,"89,597.1","144,786"
32,40,State Grid,中国,"86,984.30",1073.5,"144,939.7","844,031"
33,28,Hewlett-Packard,美国,"86,696.00",2398.0,"77,317.0","150,000"
34,45,BNP Paribas,法国,"85,687.20",7271.5,"1,483,992.1","101,917"
35,-,PDVSA,委内瑞拉,"85,618.00",4661.0,"67,887.0","48,919"
36,66,UBS,瑞士,"84,707.60",11257.5,"1,563,214.7","69,569"
37,52,Bank of America Corp.,美国,"83,980.00",16465.0,"1,291,803.0","176,638"
38,23,Hitachi,日本,"83,596.30",329.6,"84,931.6","355,879"
39,46,China National Petroleum,中国,"83,556.50",12950.0,"143,765.8","1,090,232"
40,51,Pemex,墨西哥,"83,381.70",(7001.7),"98,005.9","139,171"
41,29,Nissan Motor,日本,"83,273.80",4575.6,"97,307.4","182,273"
42,32,Berkshire Hathaway,美国,"81,663.00",8528.0,"198,325.0","192,012"
43,34,Home Depot,美国,"81,511.00",5838.0,"44,482.0","289,800"
44,73,Valero Energy,美国,"81,362.00",3590.0,"32,728.0","22,068"
45,65,J.P. Morgan Chase & Co.,美国,"79,902.00",8483.0,"1,198,942.0","168,847"
46,39,Samsung Electronics,韩国,"78,716.60",7458.8,"73,662.1","80,594"
47,25,Matsushita Electric Industrial,日本,"78,557.70",1363.8,"67,501.9","334,402"
48,68,Deutsche Bank,德国,"76,227.60",4385.0,"1,170,323.3","63,427"
49,87,HBOS,英国,"75,798.80",5870.4,"928,538.3","63,685"
50,38,Verizon Communications,美国,"75,111.90",7397.0,"168,130.0","217,000"
51,48,Cardinal Health,美国,"74,915.10",1050.7,"22,059.2","55,000"
52,89,Prudential,英国,"74,744.70",1359.5,"356,012.4","31,661"
53,43,Nestle,瑞士,"74,658.60",6415.5,"78,452.5","250,000"
54,37,Deutsche Telekom,德国,"74,061.80",6938.5,"150,843.4","243,695"
55,42,Dexia Group,比利时,"72,814.30",2532.3,"33,932.7","204,076"
56,291,Metro,德国,"72,814.30",659.8,"600,199.2","24,418"
57,61,Credit Suisse,瑞士,"72,193.50",4694.3,"1,016,005.7","63,523"
58,58,Royal Bank of Scotland,英国,"71,164.30",9997.8,"1,333,610.0","144,900"
59,54,Tesco,英国,"71,127.60",2820.8,"39,513.2","273,024"
60,41,Peugeot,法国,"69,915.40",1278.6,"81,596.7","208,500"
61,44,U.S. Postal Service,美国,"69,907.00",1445.0,"250,203.0","803,000"
62,50,Altria Group,美国,"69,148.00",10435.0,"107,949.0","199,000"
63,59,Zurich Financial Services,瑞士,"67,186.00",3214.0,"339,612.0","55,000"
64,69,E.ON,德国,"66,313.20",9203.7,"149,288.7","79,947"
65,47,Sony,日本,"66,025.60",1091.8,"89,902.8","158,500"
66,53,Vodafone,英国,"65,314.20",(39092.9),"219,832.1","64,405"
67,152,Société Générale,法国,"64,441.90",5524.4,"1,000,767.2","103,555"
68,64,Electricite De France,法国,"63,434.10",4028.4,"201,605.0","161,560"
69,56,Nippon Life Insurance,日本,"61,158.30",1812.5,"430,804.6","68,545"
70,95,Statoil,挪威,"61,032.70",4768.7,"42,677.3","25,644"
71,63,France Télécom,法国,"60,932.90",7093.8,"128,986.0","203,008"
72,-,LG,韩国,"60,574.10",587.5,"49,818.6","125,000"
73,67,Kroger,美国,"60,552.90",958.0,"20,482.5","290,000"
74,55,Munich Re Group,德国,"60,255.70",3318.9,"257,900.0","37,953"
75,70,Deutsche Post,德国,"59,989.80",2777.1,"202,759.8","502,545"
76,62,State Farm Insurance Cos,美国,"59,223.90",3241.8,"159,668.5","67,943"
77,94,Marathon Oil,美国,"58,958.00",3032.0,"28,498.0","27,756"
78,71,BMW,德国,"57,973.10",2782.1,"87,955.8","105,798"
79,57,Fiat,意大利,"57,833.90",1653.9,"73,668.9","173,695"
80,92,Hyundai Motor,韩国,"57,434.90",2268.7,"64,735.6","54,115"
81,77,Procter & Gamble,美国,"56,741.00",7257.0,"61,527.0","110,000"
82,101,ABN AMRO Holding,荷兰,"56,614.90",5444.9,"1,038,969.9","119,724"
83,49,Royal Ahold,荷兰,"56,427.30",165.3,"23,597.3","167,801"
84,97,Repsol YPF,西班牙,"56,423.60",3876.8,"54,003.1","35,909"
85,261,Legal & General Group,英国,"56,384.80",1715.7,"329,382.3","9,273"
86,125,Petrobrás,巴西,"56,324.00",10344.0,"78,625.0","53,904"
87,72,Toshiba,日本,"56,028.00",690.6,"40,063.2","171,989"
88,843,Dell,美国,"55,908.00",3572.0,"23,109.0","65,200"
89,177,Lloyds TSB Group,英国,"55,407.00",4530.9,"531,767.1","66,797"
90,85,TyssenKrupp,德国,"55,260.70",1294.1,"43,691.2","187,216"
91,76,Boeing,美国,"54,848.00",2572.0,"60,058.0","153,000"
92,74,AmerisourceBergen,美国,"54,589.60",264.6,"11,381.2","1,285"
93,155,Santander Central Hispano Group,西班牙,"53,848.80",7728.9,"954,398.2","129,196"
94,91,BASF,德国,"53,113.30",3736.0,"42,075.4","82,945"
95,86,Costco Wholesale,美国,"52,935.20",1063.1,"16,513.6","85,250"
96,79,Suez,法国,"52,742.90",3122.2,"94,697.6","157,918"
97,82,Target,美国,"52,620.00",2408.0,"34,995.0","338,000"
98,107,Morgan Stanley,美国,"52,498.00",4939.0,"898,523.0","53,218"
99,83,Robert Bosch,德国,"52,207.60",2918.8,"53,734.1","248,853"
100,80,Renault,法国,"51,365.10",4183.7,"80,695.6","126,584"
101,75,Pfizer,美国,"51,353.00",8085.0,"117,565.0","106,000"
102,139,Gazprom,俄罗斯,"50,824.40",14865.2,"1,688,807.7","396,571"
103,110,Barclays,英国,"50,634.30",6264.8,"1,586,880.6","92,800"
104,88,Johnson & Johnson,美国,"50,514.00",10411.0,"58,025.0","115,600"
105,78,RWE,德国,"50,346.20",2772.2,"127,537.5","85,928"
106,81,Unilever,英国/荷兰,"49,580.80",4679.5,"46,446.7","206,000"
107,306,Sears Holdings,美国,"49,124.00",858.0,"30,573.0","355,000"
108,114,Telefónica,西班牙,"48,833.30",5524.3,"86,313.6","207,641"
109,126,CNP Assurances,法国,"48,474.90",1183.3,"284,990.3","4,100"
110,151,Merrill Lynch,美国,"47,783.00",5116.0,"681,015.0","54,600"
111,117,SK,韩国,"47,142.60",1595.7,"42,314.2","22,614"
112,108,MetLife,美国,"46,983.00",4714.0,"481,645.0","65,500"
113,90,Tokyo Electric Power,日本,"46,418.30",2741.5,"115,212.9","51,560"
114,104,Dow Chemical,美国,"46,307.00",4515.0,"45,934.0","42,413"
115,178,Lukoil,俄罗斯,"46,284.00",6443.0,"40,345.0","150,000"
116,123,UnitedHealth Group,美国,"45,365.00",3300.0,"41,374.0","55,000"
117,280,Wellpoint,美国,"45,136.00",2463.8,"51,405.2","42,000"
118,142,Nippon Oil,日本,"45,071.20",1470.7,"35,865.5","13,628"
119,98,Dai-ichi Mutual Life Insurance,日本,"44,597.80",1340.8,"275,483.3","54,463"
120,133,Petronas,马来西亚,"44,280.40",11565.4,"73,103.6","33,682"
121,102,AT&T,美国,"43,862.00",4786.0,"1,545,632.0","189,950"
122,100,Time Warner,美国,"43,652.00",2905.0,"122,475.0","87,850"
123,106,Saint-Gobain,法国,"43,626.40",1570.6,"48,124.1","199,630"
124,167,Goldman Sachs Group,美国,"43,391.00",5626.0,"706,804.0","22,425"
125,129,Lowe's,美国,"43,243.00",2771.0,"24,682.0","164,500"
126,120,United Technologies,美国,"42,725.00",3069.0,"45,925.0","222,200"
127,149,Mitsubishi,日本,"42,633.20",3091.7,"88,237.3","53,738"
128,96,NEC,日本,"42,615.40",107.2,"33,017.5","154,180"
129,128,United Parcel Service,美国,"42,581.00",3870.0,"35,222.0","407,000"
130,109,EADS,荷兰,"42,503.10",2082.5,"83,024.0","113,210"
131,130,Nokia,芬兰,"42,484.50",4493.1,"26,302.0","58,874"
132,93,Enel,意大利,"42,320.50",4839.8,"59,570.6","51,778"
133,99,Fujitsu,日本,"42,319.40",605.4,"32,266.2","158,491"
134,119,Walgreen,美国,"42,201.60",1559.5,"14,608.8","155,200"
