排名,公司名称,国家,营业收入(百万美元),利润(百万美元),雇员人数
400,WHIRLPOOL,美国,"18,080.00",433,"73,416"
401,ALCATEL-LUCENT,法国,"18,043.10",-220.8,"89,370"
402,SHANGHAI AUTOMOTIVE,中国,"18,010.10",89.7,"72,416"
403,TESORO,美国,"18,002.00",801,"3,950"
404,BRITISH AMERICAN TOBACCO,英国,"17,960.60","3,488.40","55,145"
405,COFCO,中国,"17,953.20",281,"82,481"
406,BRISTOL-MAYERS SQUIBB,美国,"17,914.00","1,585.00","43,000"
407,LEAR,美国,"17,838.90",-707.5,"104,000"
408,MANPOWER,美国,"17,786.50",398,"30,000"
409,CANADIAN IMPERIAL BANK OF COMMERCE,加拿大,"17,703.00","2,322.80","37,016"
410,RICOH,日本,"17,688.50",955.2,"81,939"
411,EXPRESS SCRIPTS,美国,"17,660.00",474.4,"11,300"
412,GROUPE DANONE,法国,"17,656.70","1,697.50","88,124"
413,ACS,西班牙,"17,649.40","1,568.40","123,652"
414,XSTRATA,瑞士,"17,632.00","1,947.00","28,198"
415,JAPAN TOBACCO,日本,"17,536.00","1,802.00","33,428"
416,NOMURA HOLDINGS,日本,"17,519.00","1,503.30","16,144"
417,TJX,美国,"17,516.40",738,"125,000"
418,RITE AID,美国,"17,507.70",26.8,"53,669"
419,KFW BANKENGRUPPE,德国,"17,397.30","1,221.50","3,580"
420,TNT,荷兰,"17,360.60",840.6,"44,984"
421,NATIONAL GRID,英国,"17,326.40","2,636.50","19,511"
422,HYUNDAI HEAVY INDUSTRIES,韩国,"17,298.00",736.9,"38,867"
423,TELSTRA,澳大利亚,"17,256.80","2,376.40","44,452"
424,AKZO NOBEL,荷兰,"17,235.10","1,446.60","61,900"
425,LOEWS,美国,"17,227.60","2,491.30","21,600"
426,SCHINEIDER ELECTRIC,法国,"17,226.00","1,642.80","100,078"
427,ASUSTEK COMPUTER,中国台湾,"17,224.70",591,"9,587"
428,SWISS LIFE,瑞士,"17,173.90",744.3,"8,693"
429,DELTA AIR LINES,美国,"17,171.00","-6,203.00","51,300"
430,NORDEA BANK,瑞典,"17,169.90","3,945.90","29,248"
431,ENCANA,加拿大,"17,081.00","5,652.00","4,678"
432,PKN ORLEN GROUP,波兰,"17,055.00",664.6,"24,113"
433,SKANSKA,瑞典,"17,028.40",492.8,"56,085"
434,ONEX,加拿大,"16,905.20",883.1,"167,000"
435,CHINA MINMETALS,中国,"16,902.20",154.4,"32,594"
436,SAMSUNG,韩国,"16,778.80",204.8,"4,473"
437,KIMBERLY-CLARK,美国,"16,746.90","1,499.50","55,000"
438,SK NETWORKS,韩国,"16,733.90",494.9,"2,559"
439,INBEV,比利时,"16,696.90","1,770.30","85,617"
440,ENERGIE BADEN-WURTTEMBERG,德国,"16,644.20","1,258.90","20,282"
441,GRUPO FERROVIAL,西班牙,"16,634.40","1,731.30","88,902"
442,CIE NATIONALE A PORTEFEUILLE,比利时,"16,615.40","1,144.70","16,038"
443,PETRO-CANADA,加拿大,"16,602.00","1,533.60","5,165"
444,JAPAN POST,日本,"16,590.50",37.6,"110,579"
445,BEARS STEARNS,美国,"16,551.40","2,053.90","13,566"
446,CIGNA,美国,"16,547.00","1,155.00","27,100"
447,QUANTA COMPUTER,中国台湾,"16,531.30",397.2,"34,077"
448,DOMINION RESOURCES,美国,"16,524.00","1,380.00","17,500"
